;sitio;humedad;conteo;cobertura
1;a;51.44702442;9;51.09521941
2;a;55.91561652;4;48.72848091
3;a;68.35101865;0;84.18560449
4;a;78.87706332;0;40.77757711
5;a;59.88985496;0;58.07497637
6;a;56.60135174;0;85.21550518
7;a;51.63906514;3;20.25252708
8;a;44.4463623;1;96.05831633
9;a;71.62918724;9;62.64844204
10;a;45.19651021;0;89.81037346
11;a;43.57144073;7;44.46925242
12;a;36.81549747;4;81.14789669
13;a;46.55918455;6;33.40024423
14;a;73.74681144;4;76.73853877
15;a;62.02748692;6;49.82257934
16;a;56.82946557;0;5.791293599
17;a;63.59504145;0;52.74945107
18;a;41.38458638;6;66.9367385
19;a;64.45038364;7;89.61633913
20;a;76.57917086;7;90.42769897
21;a;37.89655347;5;18.01617287
22;a;40.64316051;0;3.557551647
23;a;79.05714768;0;18.34999827
24;a;39.0784918;2;89.48697806
25;a;75.58868681;6;25.29734111
26;a;61.71875019;0;38.23659871
27;a;65.98819018;0;95.19118024
28;a;53.56528573;0;24.79768161
29;a;70.85952466;6;20.31101964
30;a;53.86154746;4;74.36886475
31;a;70.47010852;8;72.40336574
32;a;73.93938955;6;77.88361543
33;a;52.55165871;1;83.91443861
34;a;67.6885284;7;21.43708228
35;a;45.79755828;0;81.43207251
36;a;37.25237731;4;28.38222877
37;a;51.33693678;0;60.01853486
38;a;41.82705959;2;18.16679129
39;a;68.61211202;0;55.47214582
40;a;38.27721511;0;51.8163053
41;b;74.72662346;5;39.59788338
42;b;66.1364009;5;36.39126179
43;b;77.72662522;4;74.18435248
44;b;71.1239369;8;53.89321588
45;b;66.00436511;0;53.68509517
46;b;72.17851796;3;21.36237462
47;b;78.66860064;2;86.92235205
48;b;68.64885779;9;85.84026303
49;b;35.18562485;0;12.79464381
50;b;75.52229156;3;4.913618231
51;b;59.84898379;4;71.53173924
52;b;63.93483698;4;17.59227802
53;b;72.45693996;11;33.20119835
54;b;70.99008928;7;60.22482517
55;b;77.38272099;5;94.76829198
56;b;55.74217518;0;23.82007091
57;b;38.87095453;0;8.113674471
58;b;63.78369814;0;63.51288553
59;b;69.64676043;0;68.27776414
60;b;41.62730516;6;17.36598134
61;b;74.67160611;5;25.50025291
62;b;47.49432628;3;30.84321281
63;b;56.45842371;0;15.45693372
64;b;38.35693662;0;77.09121646
65;b;53.52307189;6;60.02197166
66;b;76.18321889;7;33.08292568
67;b;76.50859224;4;58.16421291
68;b;74.90104577;3;59.47806535
69;b;73.19312527;4;15.12640324
70;b;79.65838182;9;0.530309166
71;b;63.19257905;6;7.314798624
72;b;77.83906305;0;52.17102115
73;b;78.01224494;5;32.10960458
74;b;76.91210494;7;98.69044077
75;b;79.17284292;9;60.97581304
76;b;67.96937536;3;36.80272355
77;b;39.02294249;2;22.1506411
78;b;47.42524195;5;15.91665099
79;b;75.65118098;6;66.13082463
80;b;35.53854934;0;62.51564891
81;c;59.30800754;12;15.35716354
82;c;65.95355851;11;59.69001344
83;c;69.59079998;6;53.36644884
84;c;42.65554482;1;41.3010573
85;c;55.06942302;5;47.4454159
86;c;43.21478995;2;53.55761509
87;c;39.74545823;0;93.8208081
88;c;55.48799754;9;5.303245378
89;c;65.01794197;7;14.25913096
90;c;77.05748697;0;41.15416752
91;c;37.10859437;3;79.078467
92;c;37.56326327;6;48.38520411
93;c;78.72247503;7;10.30016369
94;c;74.05931012;3;44.66616478
95;c;65.71744641;6;31.18694731
96;c;69.64422573;6;16.20838444
97;c;50.62852602;0;65.15806992
98;c;77.0939234;13;77.8359845
99;c;45.78668744;5;97.07398739
100;c;38.57190036;8;76.20567926
101;c;56.74735224;9;62.41020895
102;c;65.46291688;3;55.75265959
103;c;78.9524944;2;82.4742396
104;c;69.48397304;0;82.04606539
105;c;55.57659494;5;2.534609656
106;c;60.64416917;0;37.61983225
107;c;76.42317045;10;57.02130883
108;c;66.69507777;0;94.75991249
109;c;57.77985662;6;54.64681322
110;c;38.7234999;5;68.07999769
111;c;41.2329557;9;92.1145229
112;c;45.68199617;0;96.83731015
113;c;42.75698135;1;46.20771699
114;c;43.42759718;0;82.89873232
115;c;64.10388509;9;69.68716839
116;c;59.24041534;0;1.027952282
117;c;39.37209066;5;86.99825638
118;c;70.77616094;0;17.4328499
119;c;58.79493565;0;14.65379821
120;c;75.46620209;6;14.79759118
121;d;38.46024104;0;50.62811039
122;d;51.68985735;12;26.65189651
123;d;66.46006565;8;12.32613079
124;d;56.95207154;0;45.23176561
125;d;37.26067676;4;83.59952982
126;d;36.11533573;0;64.20423376
127;d;45.03162319;0;47.11975465
128;d;39.83430003;0;82.43337673
129;d;72.95602691;0;35.90402615
130;d;56.43572799;11;46.17098361
131;d;39.30360217;0;66.62659718
132;d;54.88137232;2;47.54067757
133;d;39.0180887;5;75.0720135
134;d;71.31319658;6;35.17818634
135;d;42.40784359;6;91.86250955
136;d;73.22419189;7;57.6754231
137;d;65.59713542;8;34.89393865
138;d;46.8737657;5;98.83085046
139;d;48.92148406;0;88.84204839
140;d;77.73135124;4;48.41950549
141;d;72.63795234;7;57.69352447
142;d;74.64420277;6;6.318953697
143;d;55.42321585;6;0.434438211
144;d;40.47699197;5;39.55220269
145;d;76.42227195;10;68.8854207
146;d;48.73953052;0;95.51051739
147;d;43.94654424;0;41.84853047
148;d;65.61683304;11;76.13878516
149;d;61.78082186;0;72.473478
150;d;71.83205688;7;43.7680358
151;d;63.69130953;13;84.79265219
152;d;78.71698348;6;63.59245536
153;d;39.23377634;0;26.59140598
154;d;66.70470095;6;20.96851686
155;d;36.2951442;4;27.51917455
156;d;43.59083312;7;10.33256746
157;d;54.72722757;0;76.11071478
158;d;73.43883306;9;0.844503606
159;d;69.75924168;8;28.4015748
160;d;76.40189065;5;35.43499
