anio;mes;especie;uso_suelo;uso.bin;peso;lcorporal;sexo
2014;mayo;Chironectes.minimus;cultivo;1;588;31;m
2014;mayo;Chironectes.minimus;cultivo;1;625;26;h
2014;mayo;Chironectes.minimus;cultivo;1;556;45;h
2014;mayo;Chironectes.minimus;reserva;0;525;33;h
2014;mayo;Chironectes.minimus;reserva;0;514;31;h
2014;mayo;Chironectes.minimus;reserva;0;603;42;m
2014;mayo;Chironectes.minimus;reserva;0;634;45;h
2014;mayo;Chironectes.minimus;reserva;0;653;38;h
2014;mayo;Chironectes.minimus;reserva;0;587;30;m
2014;mayo;Chironectes.minimus;cultivo;1;617;39;m
2014;julio;Chironectes.minimus;cultivo;1;521;31;m
2014;julio;Chironectes.minimus;cultivo;1;586;34;h
2014;julio;Chironectes.minimus;cultivo;1;698;31;h
2014;julio;Chironectes.minimus;cultivo;1;616;35;h
2014;julio;Chironectes.minimus;cultivo;1;573;45;h
2014;julio;Chironectes.minimus;reserva;0;693;43;m
2014;julio;Chironectes.minimus;reserva;0;559;37;h
2014;julio;Chironectes.minimus;reserva;0;642;34;m
2014;julio;Chironectes.minimus;reserva;0;598;39;m
2014;julio;Chironectes.minimus;cultivo;1;545;45;m
2014;septiembre;Chironectes.minimus;cultivo;1;714;45;m
2014;septiembre;Chironectes.minimus;cultivo;1;661;44;m
2014;septiembre;Chironectes.minimus;cultivo;1;708;39;m
2014;septiembre;Chironectes.minimus;cultivo;1;535;39;m
2014;septiembre;Chironectes.minimus;reserva;0;625;26;m
2014;septiembre;Chironectes.minimus;reserva;0;655;41;h
2014;septiembre;Chironectes.minimus;reserva;0;586;39;m
2014;septiembre;Chironectes.minimus;reserva;0;633;26;h
2014;septiembre;Chironectes.minimus;reserva;0;720;37;m
2014;septiembre;Chironectes.minimus;cultivo;1;530;26;h
2015;enero;Chironectes.minimus;cultivo;1;587;37;h
2015;enero;Chironectes.minimus;cultivo;1;497;43;h
2015;enero;Chironectes.minimus;cultivo;1;467;37;m
2015;enero;Chironectes.minimus;cultivo;1;589;45;m
2015;enero;Chironectes.minimus;reserva;0;557;30;h
2015;enero;Chironectes.minimus;reserva;0;684;26;m
2015;enero;Chironectes.minimus;reserva;0;685;40;h
2015;enero;Chironectes.minimus;reserva;0;658;31;m
2015;enero;Chironectes.minimus;reserva;0;681;39;m
