anio;mes;especie;uso_suelo;uso.bin;peso;lcorporal;sexo
2014;mayo;Chironectes.minimus;cultivo;1;586;31;m
2014;mayo;Chironectes.minimus;cultivo;1;625;26;h
2014;mayo;Chironectes.minimus;cultivo;1;556;45;h
2014;mayo;Chironectes.minimus;reserva;0;525;31;h
2014;mayo;Chironectes.minimus;reserva;0;525;31;h
2014;mayo;Chironectes.minimus;reserva;0;603;40;m
2014;mayo;Chironectes.minimus;reserva;0;634;45;h
2014;mayo;Chironectes.minimus;reserva;0;653;39;h
2014;mayo;Chironectes.minimus;reserva;0;586;31;m
2014;mayo;Chironectes.minimus;cultivo;1;617;39;m
2014;julio;Chironectes.minimus;cultivo;1;525;31;m
2014;julio;Chironectes.minimus;cultivo;1;586;31;h
2014;julio;Chironectes.minimus;cultivo;1;693;31;h
2014;julio;Chironectes.minimus;cultivo;1;617;31;h
2014;julio;Chironectes.minimus;cultivo;1;573;45;h
2014;julio;Chironectes.minimus;reserva;0;693;40;m
2014;julio;Chironectes.minimus;reserva;0;556;39;h
2014;julio;Chironectes.minimus;reserva;0;642;31;m
2014;julio;Chironectes.minimus;reserva;0;598;39;m
2014;julio;Chironectes.minimus;cultivo;1;545;45;m
2014;septiembre;Chironectes.minimus;cultivo;1;714;45;m
2014;septiembre;Chironectes.minimus;cultivo;1;661;45;m
2014;septiembre;Chironectes.minimus;cultivo;1;693;39;m
2014;septiembre;Chironectes.minimus;cultivo;1;545;39;m
2014;septiembre;Chironectes.minimus;reserva;0;625;26;m
2014;septiembre;Chironectes.minimus;reserva;0;653;40;h
2014;septiembre;Chironectes.minimus;reserva;0;586;39;m
2014;septiembre;Chironectes.minimus;reserva;0;634;26;h
2014;septiembre;Chironectes.minimus;reserva;0;714;39;m
2014;septiembre;Chironectes.minimus;cultivo;1;545;26;h
2015;enero;Chironectes.minimus;cultivo;1;586;39;h
2015;enero;Chironectes.minimus;cultivo;1;497;40;h
2015;enero;Chironectes.minimus;cultivo;1;467;39;m
2015;enero;Chironectes.minimus;cultivo;1;586;45;m
2015;enero;Chironectes.minimus;reserva;0;556;30;h
2015;enero;Chironectes.minimus;reserva;0;681;26;m
2015;enero;Chironectes.minimus;reserva;0;681;40;h
2015;enero;Chironectes.minimus;reserva;0;653;31;m
2015;enero;Chironectes.minimus;reserva;0;681;39;m
